aaftab,,,,,,,
aagahi,,,,,,,
ennayat,,,,,,,
etaat,etat,etaet,,,,,
etemad,,,,,,,
excellent,excelent,excelnt,,,,,
exciting,,,,,,,
experience,,,,,,,
faiziyab,,,,,,,
fakhar,,,,,,,
falaah,falah,faleeh,,,,,
famous,famus,famas,,,,,
fan,,,,,,,
fankar,,,,,,,
fantastic,funtastic,faantastic,funtastk,fantsktic,,,
farakh,,,,,,,
farishta,,,,,,,
farmaiysh,farmish,farmayesh,farmaaesh,,,,
fateheen,fetehen,fetaheen,fataheen,,,,
fatha,,,,,,,
fazal,,,,,,,
fitri poshak,,,,,,,
friendly,frandly,frendly,,,,,
fun ,,,,,,,
geoo,,,,,,,
ghazi,gazi,ghaaze,ghaaazi,,,,
glamorous,,,,,,,
grateful,gr8ful,grtefull,,,,,
great,grt,gr8,,,,,
gulaab,gulaaab,golaab,gulaub,,,,
gulabi,golabi ,gulaabe,,,,,
gunganana,gungna,gunegana,goongana,,,,
guzarish,,,,,,,
hadaf,,,,,,,
hadayat,hidayat,hedayat,hadayet,,,,
halal,haallaal,halaal,,,,,
hamdardi,humdardi,humdaarde,,,,,
hamwar,,,,,,,
hansi,hensi,haansi,haanse,haansy,,,
haq,heq,hq,haaq,haak,haaqe,haake,
haqeeqat,hakeeqat,haqikaat,haqkeqat,,,,
hasas,,,,,,,
haseen,,,,,,,
hero,herow,heyro,,,,,
hesiyat,,,,,,,
hidayat,hadayat,hedayat,hidayet,hidayaat,hidaayat,,
hikmat,hikemat,hekmat,hikmate,,,,
hit,,,,,,,
honahar,hunhar,honehaar,,,,,
honey,hony,huney,,,,,
honourable,honourible,honarible,,,,,
hoqoq,,,,,,,
hoshyr,hosheyaar,hoosheyaar,,,,,
hunar,honar,huunaar,huner,,,,
husool,,,,,,,
husun,,,,,,,
huzoor,,,,,,,
ibadat,ibadet,ebadat,ebadet,ibaadat,,,
ideal,,,,,,,
ilmi,,,,,,,
imtiaz,imtiyaaz,imteyaaz,imtayaz,,,,
infaradiyat,infradeyat,infradiyat,,,,,
insaaf,insaf,insaaaf,ensaaf,,,,
inspiration,inspration,,,,,,
interesting,intresting,intrusting,,,,,
ishq,,,,,,,
istehkaam,,,,,,,
jaaiz,jaiz,jayeez,jaaizee,,,,
jaan,jan ,jaaaan,jaaane,,,,
jaaneman,,,,,,,
jadoo,,,,,,,
jalwagar,,,,,,,
jannat,,,,,,,
jashan,jashen,jashaane,jashun,,,,
jawan,,,,,,,
jawidaan,,,,,,,
jazba,jaazbah,jaazba,jazeba,jazbe,,,
jeet,jet,jeeet,geet,,,,
jeewaay,,,,,,,
jiddat,,,,,,,
jnnat,jannat,janat,janet,jant,,,
johar,joher,johr,joehar,,,,
josh,joosh,joshe,,,,,
junoon,,,,,,,
kalma,klma,kalama,,,,,
kamal,kaml,qamaal,kamaal,,,,
kamalat,,,,,,,
kamyab,qamyab,kamiyab,kaamyab,kaamyeeb,,,
kamyab,qaamyaab,qayyab,kemayb,,,,
karam,karum,karem,,,,,
karamat,karemat,qaramat,,,,,
kareem,karim,qareem,kereem,karieem,,,
karnamon,,,,,,,
kashish,,,,,,,
khailadi,,,,,,,
khidmat,,,,,,,
khilna,,,,,,,
khobiyan,,,,,,,
khobsurti,,,,,,,
khoob,khob,khub,,,,,
khoshgwar,khushgawar,,,,,,
khubiya,khobiya,khoobiyan,khubiyan,khubeya,,,
khubsurt,khobsurat,khoobsorat,,,,,
khudari,khdari,khoderi,,,,,
khulos,,,,,,,
khushaind,khshaend,,,,,,
khushboo,,,,,,,
khushhaali,khushhali,khshali,,,,,
khushi,khushe,kushi,khoshi,,,,
khushkhabri,khshkhbri,khoshkhbri,khusshkhbre,,,,
khushkismat,khushqsmat,,,,,,
khushqismati,khshqismti,,,,,,
khususi,khosusi,khusosi,khososi,,,,
king,,,,,,,
kirdar,,,,,,,
kram,,,,,,,
kushadgi,,,,,,,
lagan,lagn,lagun,,,,,
lajawab,,,,,,,
lajawb,lajwb,lajaawab,ljawab,,,,
laqab,,,,,,,
lash,laash,lush,,,,,
leader,ledr,leadar,leedar,,,,
level,levl,lvl,laval,,,,
lion,,,,,,,
look,,,,,,,
love,luv,lave,,,,,
lovely,,,,,,,
lucky,luky,luckey,lucki,,,,
lush,,,,,,,
lutf,,,,,,,
maahi,mahi,mahe,mahee,,,,
madad,madaad,maadad,maded,,,,
madadgaar,,,,,,,
madah,,,,,,,
madoo,madu,madou,mado,,,,
mahaan,maahan,mahane,mahaaan,,,,
mahaarat,,,,,,,
maharat,,,,,,,
mahfooz,mehfooz,mehfooze,mahfooze,,,,
mahool,,,,,,,
maintain,maintein,,,,,,
makhsos,,,,,,,
malik,,,,,,,
malika,,,,,,,
manpasand,,,,,,,
mansha,,,,,,,
manzoori,menzuri,maaanzooori,,,,,
maqboliyat,maqboleyaat,mqboleyaat,,,,,
maqbool,makbool,maqbule,maqbole,,,,
marriage,marrege,marrige,marragee,,,,
masawat,,,,,,,
mashaallah,mashallah,,,,,,
mashoor,,,,,,,
mashwarah,,,,,,,
masiha,,,,,,,
masom,masoom,masum,masuum,,,,
masoomiyat,masomiyat,masumiyat,,,,,
mast,,,,,,,
mayanaaz,,,,,,,
mayar,,,,,,,
maza,mazah,mazeh,,,,,
mazay,maza,mazey,mazaay,maze,,,
mazbot,,,,,,,
mazedar,mazaydar,mazadar,mazaaydaar,,,,
meethi,methi,methe,methy,,,,
meharban,mehrban,mehrbaan,mehrebaan,,,,
mehbooba,mehbuba,meehboooba,,,,,
mehbub,mehboob,meehbooob,,,,,
meherbani,,,,,,,
mehfil,,,,,,,
mehfooz,,,,,,,
mehnat,,,,,,,
merit,,,,,,,
meyari,,,,,,,
mezban,,,,,,,
milansaar,,,,,,,
miyaar,mayaar,miyar, mayyar,,,,
mohabbat,,,,,,,
mohazab,,,,,,,
mohsin,,,,,,,
mosar,moassar,moasar,moasur,,,,
motamid,mutamid,motemid,,,,,
motasir,,,,,,,
muaawin,,,,,,,
muaawza,moawza,muawza,,,,,
mubarak,mubrk,mubrek,mubaraaak,mubaraq,,,
mubarakbad,mubrkbaad,,,,,,
mufeed,,,,,,,
muhabbat,mohabat,muhbt,,,,,
muhafiz,,,,,,,
muhim,,,,,,,
mumtaz,mmtaz,momtaz,,,,,
munafa,,,,,,,
munasib,munassib,munasb,munsb,,,,
munfarid,munfrid,munfared,,,,,
muntakhib,muntakheb,montakhib,,,,,
murattab,,,,,,,
musakhir,,,,,,,
mushtarka,,,,,,,
muskorati,,,,,,,
muskurany,muskrana,muskaraya,moskarana,,,,
mustand,mustnd,mustanaad,,,,,
mustanid,,,,,,,
mustehqam,,,,,,,
mutameen,,,,,,,
mutariff,motarrif,motareef,,,,,
mutashir,,,,,,,
mutmain,muatamin,motmin,motamain,,,,
muziz,,,,,,,
naamwar,,,,,,,
nafees,,,,,,,
naiki,naake,naaike,naaki,,,,
naimton,nameaton,neematon,,,,,
naqoosh,,,,,,,
naram,,,,,,,
naseeb,naseib,naseb,,,,,
naseehat,nasehat,nasehaat,nasihat,,,,
nasheen,,,,,,,
nayab,,,,,,,
nazmosabt,naazmuzabt,nazmozabt,,,,,
nazrana,,,,,,,
nekiyan,naikiyan,neekeyaan,,,,,
nekniyati,,,,,,,
nice,,,,,,,
nikharne,,,,,,,
nikhez,,,,,,,
nominate,,,,,,,
numaindagi,,,,,,,
nurani,noorani,nuraane,norani,,,,
opportunity,,,,,,,
orginal,,,,,,,
outclass,,,,,,,
paakbaaz,pakbaz,pakbaze,,,,,
paikar,,,,,,,
pak,,,,,,,
pakeeza,pakiza,pakezah,pakqeza,,,,
parsa,,,,,,,
party,parti,parte,,,,,
pasandidah,pasndedah,pasnddidah,,,,,
payari,,,,,,,
payedar,,,,,,,
pazeerai,,,,,,,
perfect,,,,,,,
personality,parsonelity,personelity,,,,,
peshkash,,,,,,,
phal,,,,,,,
phurteele,,,,,,,
piyari,,,,,,,
poshidah,,,,,,,
powerful,,,,,,,
pride,,,,,,,
promote,,,,,,,
proud,,,,,,,
purasataar,,,,,,,
purkashish,,,,,,,
pursukoon,,,,,,,
qabliat,qabaliyat,qabaliyt,kabaliyat,,,,
qad aawar ,,,,,,,
qadir,,,,,,,
qismat,,,,,,,
queen,,,,,,,
qurban,,,,,,,
raazi,,,,,,,
rafahi,,,,,,,
raghib,,,,,,,
raham,reham,rehaam,rehm,,,,
rangin,raangeen,rungen,rangein,,,,
rashk,,,,,,,
raza,,,,,,,
rehman,,,,,,,
rehmat,reehmaat,rehmaat,rahmat,,,,
relax,relaax,rilax,,,,,
relief,relefe,releef,,,,,
response,,,,,,,
right,ryt,r8,,,,,
rohani,,,,,,,
roshan ,,,,,,,
roshanas,,,,,,,
saadgi,sadgi,,,,,,
saaf,,,,,,,
sabaq,,,,,,,
sada bahar,,,,,,,
sadat,,,,,,,
sadiq,,,,,,,
sadqa,sdqa,sdka,,,,,
saholaten,,,,,,,
sajne,,,,,,,
sakhawat,,,,,,,
sakoon,sakun,sakon,sakeeon,,,,
salahiyatein,,,,,,,
salam,salm,salaam,,,,,
salamat,,,,,,,
salamti,salmti,salmeti,salamati,mobarkbaad,,,
saraha,,,,,,,
saraparasti,,,,,,,
sargaram,,,,,,,
satisfied,,,,,,,
sawarne,,,,,,,
scene,,,,,,,
serat,,,,,,,
shaan,shan,shane,,,,,
shabas,shabash,shahbash,,,,,
shadiya,,,,,,,
shaeed,shaed,shaheed,,,,,
shafaf,,,,,,,
shah ,,,,,,,
shahkar,,,,,,,
shaista,shasheta,shishta,shaishtah,,,,
shan,,,,,,,
shanakht,,,,,,,
shanasai,,,,,,,
shandar,shndr,shaander,shandaar,,,,
sharafat,,,,,,,
shareef,shreef,shariif,sharef,,,,
shashkey,,,,,,,
shauq,shuok,shook,shauk,,,,
shauqiya,,,,,,,
shining,,,,,,,
shohrat,shuhrat,shohraat,shohrut,,,,
shugal,shugel,shogaal,,,,,
shugli,,,,,,,
shukrguzar,shukarguzaar,,shukrgzar,,,,
shukriya,shukria,shokriya,,,,,
shurat,,,,,,,
sifarish,safarish,sefarish,sahfarish,,,,
sila,sela,sillah,seelah,,,,
sitara,,,,,,,
sitaron,setaron,sataro,setaaron,,,,
skills,,,,,,,
slam,,,,,,,
smart,smrt,samat,,,,,
smile,,,,,,,
smoot,,,,,,,
sonee,,,,,,,
special,,,,,,,
strong,,,,,,,
style,styl,stayle,,,,,
sudhar,,,,,,,
sulah,suleh,solah,sulaah,,,,
sunehri,,,,,,,
super,,,,,,,
superstars,,,,,,,
support,supoort,seport,,,,,
sureela,,,,,,,
sweet,,,,,,,
taaqatwar,,,,,,,
taawun,,,,,,,
taaza,,,,,,,
tafreeh,tafreh,tafrih,,,,,
tagra,tgra,taagra,tagera,,,,
tajurbe,,,,,,,
talent,talnt,talant,telant,,,,
tamer,,,,,,,
tamgha  ,,,,,,,
taqat,,,,,,,
taqdeer,takdeer,takdeir,,,,,
taraqi,,,,,,,
tariqi,,,,,,,
tarjeeh,,,,,,,
tasalli,,,,,,,
tashkeel,,,,,,,
taskeen,,,,,,,
tehqeeq,,,,,,,
thankful,thankfull,thkful,thankfol,,,,
thankyou,thanku,,,,,,
tohfay,,,,,,,
toqeer,,,,,,,
true ,tru,,,,,,
trust,trst,truste,,,,,
umda,umdah,omdah,umdeh,,,,
umeed,umed,omeed,umeede,,,,
umeedein,,,,,,,
uncondtionly,,unconditinally,,,,,
urooj,arooj,uroj,aruuuj,urroj,,,
variety,,,,,,,
waada,wada,waadah,wahda,,,,
wafadari,,,,,,,
waqar,wakar,waqer,,,,,
wellcome,welcome,weelcom,wellcum,welcom,,,
winner,,,,,,,
yadgar,yadgaaar,yaadgar,yadegar,yadeegaer,,,
yaqeen,yakeen,yaqen,yakieen,,,,
zaat,zaet,zaaate,zaete,,,,
zabrdst,zabardast,zabrdust,zebrdast,,,,
zarafat,,,,,,,
zarkhez,,,,,,,
zauq,,,,,,,
zenat,,,,,,,
zirat,,,,,,,
