chass,chuss,chass,,,,,,,
chillaana,,,,,,,,,
chittar,chetar,chitar,chitr,chittar,,,,,
chokri,,,,,,,,,
chor,,,,,,,,,
chot,,,,,,,,,
chpairren,,,,,,,,,
chughli,,,,,,,,,
churrail,,,,,,,,,
chwlein,chawalein,chwlein,,,,,,,
daagh,dagh,daggh,daag,,,,,,
dabao,,,,,,,,,
dagha,,,,,,,,,
daghabaz,dghabaz,daghabaz,,,,,,,
dajjal,,,,,,,,,
daku,,,,,,,,,
dangrr,,,,,,,,,
dard,drd,derd,darrd,dard,,,,,
darinda,,,,,,,,,
dastbrdaar,,,,,,,,,
dayein,,,,,,,,,
deeth,deeth,,,,,,,,
deewalia,,,,,,,,,
degrade,,,,,,,,,
dehsatgard,,,,,,,,,
dhamaka,,,,,,,,,
dhandhli,dhandli,dhandhli,,,,,,,
dharna,dherna,darna,dharna,,,,,,
dhmaakay,dmakay,,,,,,,,
dhoka,dhoqa,dhoka,,,,,,,
doobna,,,,,,,,,
dramybaaz,dramaybaz,dramybaz,dramaybaz,,,,,,
dukh,dokh,,,,,,,,
dushmni,,,,,,,,,
fahashi,,,,,,,,,
fana,,,,,,,,,
faqir,faqeer,feqir,fqeer,fqir,fakir,fakeer,fakiir,faqir,
faraar,,,,,,,,,
fareb,,,,,,,,,
fasadaat,,,,,,,,,
fasadi,,,,,,,,,
firaoon,firoan,feroan,faroan,feraoon,firaoon,,,,
firing,,,,,,,,,
fitoor,,,,,,,,,
fsaad,,,,,,,,,
galiyaan,galiyan,galiyan,gaali,,,,,,
gandagi,,,,,,,,,
garrbarr,,,,,,,,,
ghaddar,gadar,gdaar,gdar,ghadar,ghadaar,ghaddar,,,
ghair,ghaair,ghaer,gairr,ghair,,,,,
ghalat,,,,,,,,,
ghaliz,ghaleez,ghaaliz,ghalez,galeez,galiz,ghaliz,,,
ghalti,,,,,,,,,
ghamand,,,,,,,,,
gharak,garak,garaq,gharaq,ghark,gharq,gharak,,,
ghareebi,,,,,,,,,
ghatiya,ghtiya,ghatiya,,,,,,,
gheraao,,,,,,,,,
gherey,,,,,,,,,
ghlazat,,,,,,,,,
ghulami,gulami,ghulami,,,,,,,
ghunda,,,,,,,,,
gilaa,,,,,,,,,
girftar,,,,,,,,,
gola,,,,,,,,,
gulami,,,,,,,,,
gunday,,,,,,,,,
gustakh,gustakhi,,,,,,,,
haar,,,,,,,,,
haavi,,,,,,,,,
hadsa,hadsaat,,,,,,,,
hadsaati,,,,,,,,,
halaak,halaaktein,,,,,,,,
halkaan,,,,,,,,,
hamla,humla,haamla,hamla,,,,,,
hangaami,,,,,,,,,
haqir,haqqer,haqeer,haqir,hakir,hakeer,hakir,,,
haram,hraam,hram,haaram,haram,,,,,
haramzada,hraami,hrami,hirami,hiraami,herami,heraami,harami,,
hareef,,,,,,,,,
harrtaal,harttal,,,,,,,,
hasrat,,,,,,,,,
hassad,,,,,,,,,
hatam,hatma,,,,,,,,
hawas,hawes,haws,hawus,hawas,,,,,
hooshiyar,,,,,,,,,
ibratnaak,ibrt,ibrut,ibrat,ibrat,,,,,
ikhtilafaat,,,,,,,,,
ilzaam,ilzamaat,,,,,,,,
inkar,,,,,,,,,
isteefa,,,,,,,,,
iztraab,,,,,,,,,
jaadu,,,,,,,,,
jaali,jali,jaaali,jaali,,,,,,
jaar khana,,,,,,,,,
jaghrra,,,,,,,,,
jahil,jaahil,jahal,jahaal,jahil,,,,,
jahliyyat,,,,,,,,,
jail,jahliyat,jaliyat,jahliyt,jaliyt,jahliyt,jahliyyat,,,
jalan,,,,,,,,,
jalana,,,,,,,,,
janazaa,jlana,jilana,jelana,jalana,,,,,
janbahaq,,,,,,,,,
jarhiyyat,,,,,,,,,
jasoosi,,,,,,,,,
jhang,jung,,,,,,,,
jurm,,,,,,,,,
jurmana,,,,,,,,,
kaatna,,,,,,,,,
kachra,,,,,,,,,
kafan,,,,,,,,,
kafir,kafer,qafir,qafer,kafir,,,,,
kaladamm,,,,,,,,,
kangaal,kngal,kangal,kengal,kengaal,kangaal,,,,
kanjar,knjr,knjur,kanjar,,,,,,
karastani,,,,,,,,,
karnamay,,,,,,,,,
kasheedgi,,,,,,,,,
kashmakash,,,,,,,,,
kasoor,,,,,,,,,
kattputli,,,,,,,,,
keeray,,,,,,,,,
khaai,,,,,,,,,
khabasat,khibast,khebast,hibasat,hibast,khabasat,,,,
khabees,khabis,habees,habis,khabees,,,,,
khadsha,,,,,,,,,
khanzeer,khanzir,hanzir,hanzeer,khanzeer,,,,,
kharabi,,,,,,,,,
khaufnaak,,,,,,,,,
khayef,,,,,,,,,
khelaf,,,,,,,,,
khencha,,,,,,,,,
khilaaf,khilaf,khilaaf,,,,,,,
khisyaani,,,,,,,,,
khofnaak,khisyani,khisyaani,,,,,,,
khofzda,,,,,,,,,
khoon,,,,,,,,,
khoon rezi,,,,,,,,,
khoonhar,,,,,,,,,
khooni,,,,,,,,,
khotay,,,,,,,,,
khraabi,khrabi,,,,,,,,
khudai,,,,,,,,,
khudkushi,khdkushi,khudkshi,khudkushi,,,,,,
khufia,,,,,,,,,
khurafaat,khuraft,khurafat,hurafat,huraft,khurafaat,,,,
khuwaari,,,,,,,,,
khyef,,,,,,,,,
kothaa,,,,,,,,,
kutiya,,,,,,,,,
laapta,,,,,,,,,
lalach,lalch,lalach,,,,,,,
lalkaar,,,,,,,,,
lanat,lant,laanat,lanat,,,,,,
larney,,,,,,,,,
lash,,,,,,,,,
latt,,,,,,,,,
lochapan,lochapn,locha[n,,,,,,,
loot,luut,loot,,,,,,,
lootay,lutay,lutaay,lotay,lotaay,lootay,,,,
lraka,,,,,,,,,
maar,maaar,mar,maar,,,,,,
mafia,,,,,,,,,
makkari,,,,,,,,,
makrooh,,,,,,,,,
maluon,,,,,,,,,
mamooli,,,,,,,,,
manfi,,,,,,,,,
manshiyaat,,,,,,,,,
mansookh,,,,,,,,,
maqbooza,,,,,,,,,
masail,masaiil,masail,masayl,,,,,,
mashkook,,,,,,,,,
masla,,,,,,,,,
matam,,,,,,,,,
mayoos,mayos,mayyos,mayoosi,,,,,,
mazloom,,,,,,,,,
mazool,,,,,,,,,
mazoori,,,,,,,,,
meesna,miesna,meesna,,,,,,,
misnay,mesnay,meesnay,,,,,,,
mehanga,mehnga,,,,,,,,
mehroom,mehroomi,,,,,,,,
milawat,,,,,,,,,
mokhalifeen,,,,,,,,,
muaafi,,,,,,,,,
muakhar,muakhhar,,,,,,,,
muattil,,,,,,,,,
mudakhlat,,,,,,,,,
mukadmat,,,,,,,,,
mulawwis,,,,,,,,,
multavee,,,,,,,,,
mulzim,,,,,,,,,
munafiq,munafiqq,munafik,munafek,munafk,munafq,munafiq,,,
murdabaad,murdabad,murdabaad,,,,,,,
mushkil,,,,,,,,,
mustaafi,,,,,,,,,
mustard,mustradd,,,,,,,,
mutasabeen,,,,,,,,,
mutassir,mutassir,mutassira,,,,,,,
mutnafir,,,,,,,,,
mutnaziaa,,,,,,,,,
muzahamat,,,,,,,,,
na-aasudgi,,,,,,,,,
naapsndeedgi,,,,,,,,,
naaqis,,,,,,,,,
naarva,,,,,,,,,
nabood,,,,,,,,,
na-ehel,narva,nerva,naarva,,,,,,
nafarmaani,,,,,,,,,
nafrat,,,,,,,,,
nainsaafi,,,,,,,,,
najayez,nijayez,nejayez,najaiz,najayez,,,,,
nakaam,,,,,,,,,
nakaara,,,,,,,,,
namaloom,,,,,,,,,
naraz,,,,,,,,,
nasha,nsha,nashaa,,,,,,,
nasheela,,,,,,,,,
nashukri,,,,,,,,,
nazuk,,,,,,,,,
neest,,,,,,,,,
nikaal,,,,,,,,,
nikammapan,,,,,,,,,
nikammay,nikamy,nekamy,nikamaay,nikammy,,,,,
notanki,,,,,,,,,
nuqsaan,,,,,,,,,
ochee,oche,ochee,,,,,,,
out,,,,,,,,,
pabandi,,,,,,,,,
pachtayega,,,,,,,,,
pagal,,,,,,,,,
paindoo,,,,,,,,,
palaa,,,,,,,,,
pareshan,,,,,,,,,
pasmanda,psmanda,pusmanda,pasmaanda,pasmanda,,,,,
pathraaoo,,,,,,,,,
phaansi,phansi,,,,,,,,
phadda,phda,phdda,phada,phadda,,,,,
phaswa diya,,,,,,,,,
pichtawa,,,,,,,,,
pitaee,,,,,,,,,
pittna,,,,,,,,,
propaganda,,,,,,,,,
purana,,,,,,,,,
qahat,,,,,,,,,
qaher,qaheer,qahir,qaher,,,,,,
qaid,,,,,,,,,
qatal,qatil,qatl,qatal,,,,,,
ragar,,,,,,,,,
ranjh,,,,,,,,,
ratta,,,,,,,,,
rishwat,,,,,,,,,
rog,,,,,,,,,
rona,,,,,,,,,
rubbish,,,,,,,,,
rukawat,,,,,,,,,
ruswa,,,,,,,,,
saazish,sazish,sazishh,sazish,,,,,,
sadma,,,,,,,,,
sakht,,,,,,,,,
sakhti,,,,,,,,,
sakta,,,,,,,,,
sanihaa,,,,,,,,,
satana,,,,,,,,,
saubat,,,,,,,,,
sazaa,sza,saza,szaa,sazaa,,,,,
selaab,,,,,,,,,
sharab,,,,,,,,,
shekhi,shekhi,,,,,,,,
shetaan,shitan,shitaan,shatan,shatan,shataan,shetan,,,
shikaar,,,,,,,,,
shikast,,,,,,,,,
shikasta,,,,,,,,,
shikwa,shikway,,,,,,,,
shirk,,,,,,,,,
shodi,,,,,,,,,
shraab,,,,,,,,,
shrmnaak,sharamnak,sharmnaak,shrmnaak,,,,,,
shubhaa,,,,,,,,,
sifarish,sifarissh,siffarish,sifaarish,,,,,,
soag,,,,,,,,,
sogwaar,sougwaar,,,,,,,,
sood,,,,,,,,,
tabahi,taabah,tabaah,tbaah,tbah,tabah,tibah,,,
takabbur,,,,,,,,,
taklif,,,,,,,,,
takraar,takrar,,,,,,,,
takrana,,,,,,,,,
tallh,,,,,,,,,
tamasha,tmasha,,,,,,,,
tambakoo,,,,,,,,,
tanaa,tanay,tana,tanaa,,,,,,
tanazia,,,,,,,,,
tanazzali,,,,,,,,,
tang,,,,,,,,,
tanqeed,,,,,,,,,
tanziyah,,,,,,,,,
tark,,,,,,,,,
tashaddud,,,,,,,,,
tawaan,,,,,,,,,
taweel,,,,,,,,,
tehweel,,,,,,,,,
tezaab,,,,,,,,,
thagg,,,,,,,,,
tharki,therki,tharki,,,,,,,
thpparr,,,,,,,,,
thumka,,,,,,,,,
toheen,,,,,,,,,
tooti,,,,,,,,,
tootna,,,,,,,,,
tsaddum,tsadum,,,,,,,,
tuassub,tassub,tuasub,tuaasub,tuassub,,,,,
tuhmat,,,,,,,,,
ubalna,,,,,,,,,
ujarra,ujara,ujarra,,,,,,,
veeran,,,,,,,,,
wardaat,,,,,,,,,
watt,,,,,,,,,
wehshi,,,,,,,,,
yahood,,,,,,,,,
zahar,,,,,,,,,
zakhmi,,,,,,,,,
zaleel,zalil,zalel,zaleel,,,,,,
zalim,zalem,zallim,zalam,zalim,,,,,
zalmana,,,,,,,,,
zalzlaa,,,,,,,,,
zawaal,,,,,,,,,
zeher,zehar,zehr,zeher,,,,,,
zehreelay,zehrily,zehrely,zehrelay,zehrelay,zehrilay,zehreelay,,,
zyadti,zyaadti,zyati,ziyadti,zyadti,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
