Reviews,Sentiment,NormalizedReviews
kher kya karein ab yaar yaha indians bh shoor macha rahe hain {(doh)},-1.0,kher kya karein ab yaar yaha indians bh shoor macha rhy hy {(doh)}
congratzzzzzzz chalo ab treat do nazia :d,1.0,congratzzzzzzz chalo ab treat do nazia :de
ab haar gaein hain hum to yehi kehna parega na{(blame)},-1.0,ab har gaein hy hum to yehe kehna parega ny{(blame)}
india ki ye taareeq rahi hai k wo har world cup me pak ko beet karta hai.aur mujhe is par khushi hai k mera mulk jeet gaya.,1.0,india ki yeh taareeq rahi hy k wo har world cup main pak ko beet krta hy.aur mujhe is par khushi hy k mera mulk jeet gya.
thank uuuuuuuuuuu...per treat abhi nahi jab india cup le legi tab asli treat hogi na...;;),1.0,thank uuuuuuuuuuu...par treat abi nahi jb india cup lye legi tab asli treat hogi ny...;;)
par me final me india ko jitwanay nahi do gi {(nix)}ok....me srilanka ko jitwao gi.....bas me chatti ho kay india nahi jeetay ...or koi bhalay jeet jai...,0.0,par main final main india ko jitwanay nahi do gi {(nix)}ok....main srilanka ko jitwao gi.....bas main chatti ho kay india nahi jeetay ...aur koi bhalay jeet jai...
hamari team main bohat improvements aai hain aur agar ese hi woh aur ziyada practice karte rahe toh inshallah zaroor top cricket team ov da world banenge,1.0,hamari team main bohat improvements aai hy aur agar ese hy woh aur ziyada practice karte rhy to inshallah zaroor top cricket team ov dain world banenge
haar k b jeet gaya pakistan:),0.0,har k bhi jeet gya pakistan:)
lgi rho dear ...umeed pr dunya kaayem he..{(haha}),1.0,lgi rho dear ...umeed pr dunya kaayem hy..{(haha})
male se acha he felame ko good luck karen,1.0,male se acha hy felame ko good luck karen
ye felame kiya hy ??,0.0,yeh felame kya hy ??
tum se ziada nahi lekin,-1.0,tum se ziada nahi lekin
kaptaan aap kab ja rahe ho india?,0.0,kaptaan aap kub ja rhy ho india?
"khan jee, phr aap kab ja rahe hai, india #pak ko support karney #wt20 mein ?????",1.0,"khan jee, phr aap kub ja rhy hy, india #pak ko support karney #wt20 main ?????"
"yaar, mardon ki team ko bhee good luck keh dey?",1.0,"yaar, mardon ki team ko bhee good luck keh dain?"
sir jee kush kar lao tussi vi ke agley election che v zaleel karvana hai,0.0,sir jee kush kr lao tussi vi ke agley election che v zaleel karvana hy
hmari dua pak women k sath he allah inko kamiyab kre ga take pak ka nam ucha ho,1.0,hmari dua pak women k sath hy allah inko kamyab kre ga take pak ka nam ucha ho
"kabhi jeet ke toh aaen nahi, selfion se hi shakal dikhti hai",-1.0,"kabhi jeet ke to aaen nahi, selfion se hy shakal dikhti hy"
punjab mai mqm ka kirdar  muslim league n ada ker rahi hai,0.0,punjab mai mqm ka kirdar  muslim league ny ada kr rahi hy
siasat or khaile main kia faraq hay g ?,0.0,siasat aur khaile main kia farq hy g ?
sir ap india match deakney be chale jao,0.0,sir ap india match deakney be chale jao
lala hamara larko ka b aik team hay,0.0,lala hamara larko ka bhi aik team hy
sir ap b india ja rahy hain aur reham b tu zra bach kr.,1.0,sir ap bhi india ja rha hy aur raham bhi tu zra bach kr.
imran sab hat jao pondi krna shdi krwa lo,0.0,imran sab hat jao pondi karna shdi krwa lo
"allah aap ko kamyaab kuray,",1.0,"allah aap ko kamyab kuray,"
g khan saib umeed ab woman cricket team sy he bhtr option hai,1.0,g khan saib umeed ab woman cricket team say hy behtar option hy
allah pa amaan. pa makha de ran'aganay. kamyaba ao baryalay rashay. ameen,1.0,allah pa aman. pa makha dain ran'aganay. kamyaba ao baryalay rashay. ameen
plz plz reply lala g ap ki bhhhhhhhhhhhhhhhhhhhhhhhtttttttttt bri fan hun plzzzzzzz,1.0,plz plz reply lala g ap ki bhhhhhhhhhhhhhhhhhhhhhhhtttttttttt bri fan hun plzzzzzzz
reply b du esko dil py ek arman hy,1.0,reply bhi du esko dil py ek arman hy
haan wo to hyyy :),0.0,han wo to hyyy :)
ye kb the end hoge? ?,0.0,yeh kub thi end hoge? ?
baar baar lala g reply chayea...,0.0,baar baar lala g reply chayea...
achi bat hay n.a. q lena chahti hun,1.0,achi bat hy ny.a. q lena chahti hun
wow mere liye subse bari news h thanksboomboom @imrankhanpti  ko bolne k lye,1.0,wow mere liye subse bari news hy thanksboomboom @imrankhanpti  ko bolne k lye
maza aaega aap 2 ko sath dekh k khushi hoti h??,1.0,mazay aaega aap 2 ko sath dekh k khushi hoti hy??
lala jany se phly aim like dn.bht duain dn gi apko??,1.0,lala jany se phly aim like dn.bht duain dn gi apko??
ab ki baat kch kar he daalo pakistan ki kgatir,0.0,ab ki baat kuch kr hy daalo pakistan ki kgatir
assalam u alaikum mashallah mashallah hamesha ki tarah ap bohat haseen lag rahe the kolkata airport pe mashallah se,1.0,assalam you alaikum mashaallah mashaallah hamesha ki tarah ap bohat haseen lag rhy thi kolkata airport pe mashaallah se
plss plss plsss india sy jeet janna,1.0,plss plss plsss india say jeet janna
best off luky hmra duwa ap ka sath shahid bhai,1.0,best off lucky hmra duwa ap ka sath shaeed bhai
inshaallah ap win kro gy lala.meri best wishes and dua ap k sath gain.,1.0,inshaallah ap win kro gye lala.meri best wishes and dua ap k sath gain.
hmesha ki tra aj phr ak like b ni mla kitni hushi hoti agr ml jata????????????,0.0,hmesha ki tra aj phr ak like bhi nai mla kitni hushi hoti agr ml jata????????????
reply tu ni mil skta,-1.0,reply tu nai mil sakta
pyar nahi mila meri pyari gurya ko,0.0,pyar nahi mila meri pyari gurya ko
allah pak team ko apney hifzo amaan mai rakey ameen??????????,1.0,allah pak team ko apney hifzo aman mai rakey ameen??????????
aap k sath hum sab hain,0.0,aap k sath hum sab hy
aap hi hain dilon ki dharkan,1.0,aap hy hy dilon ki dharkan
aap jaan e tamanna hain love u,1.0,aap jaan e tamanna hy love you
shahid bhai mei jaanta hu aap pakistan se bohat muhabbat karte hain aur hum sab aap ko bohat pyaar karte hain bohat..love u,1.0,shaeed bhai mei jaanta hu aap pakistan se bohat mohabbat karte hy aur hum sab aap ko bohat pyaar karte hy bohat..love you
apne india ki tarif kya ki media apke piche pd gai.are pakistan k b log ache h bt jo hmare des pe hmla krte usko sza to do,0.0,apne india ki tarif kya ki media apke piche pd gai.are pakistan k bhi log ache hy bt jo hmare des pe hamla krte usko saza to do
hmne hi boom boom banaya h is insan ko ab india main nahi pakistan main khatra hai,-1.0,hmne hy boom boom banaya hy is insan ko ab india main nahi pakistan main khatra hy
pakistan hmesha apni team ko support krta h leken team ko bh acha khelna chye plz work hard ?,1.0,pakistan hmesha apni team ko support krta hy leken team ko bh acha khelna chye plz work hard ?
allah k hawaaley..,0.0,allah k hawaaley..
hum sab ki duaaen aap k sath hain shahid bhai ..aap hi inshallah t-20 world cup win karvaaen gein hamen,1.0,hum sab ki duaaen aap k sath hy shaeed bhai ..aap hy inshallah t-20 world cup win karvaaen gein hamen
india aur bangalio ka ghuror thor do is bar,1.0,india aur bangalio ka ghuror thor do is bar
lala we r with u pakistan ka parcham buland karna he india k fizaon me.,1.0,lala we r with you pakistan ka parcham buland karna hy india k fizaon main.
ap kamyab honge q k ap sache dil se khelte ho,1.0,ap kamyab honge q k ap sache dil se khelte ho
best of luck shahid bhai abi nhi tu kabi nhi,0.0,best of luck shaeed bhai abi nhi tu kabi nhi
woiiiiiiiii ab deakhtay hain kon harata hain is team ko ik ?? or lala sath,-1.0,woiiiiiiiii ab deakhtay hy kon harata hy is team ko ik ?? aur lala sath
lala hamari her dua he team ki kamyabi k liye hoti hai  allah pak apko kamyabi atta kare amen,1.0,lala hamari her dua hy team ki kamyabi k liye hoti hy  allah pak apko kamyabi atta kare ameen
woh sb tu theek hai pr jab sara kam dosrun he krna hai tu inki kya zarorat,1.0,woh sab tu theek hy pr jb saraha kaam dosrun hy karna hy tu inki kya zaroorat
wassu bhai ya ya lallu lala ki wajah se??,0.0,wassu bhai yeh yeh lallu lala ki wajah se??
boom boom baba jo aty waqt kia tha wo jaty waqt b kr dikhao jio lala boom boom baba,0.0,boom boom baba jo aty waqt kia tha wo jaty waqt bhi kr dikhao jio lala boom boom baba
ghar me ghoss kar mary gay india ko inshallah,-1.0,ghair main ghoss kr mary gye india ko inshallah
hamari dua aap ke saat he allah kamyab karin aap sub ko ameen,1.0,hamari dua aap ke saat hy allah kamyab karin aap sab ko ameen
oh shahid bai aap ne bilkul saheeh kaha ha kun k jo aap k baray mein galat ha wo galat khay g,1.0,oh shaeed bai aap ny bilkul saheeh kaha hy kun k jo aap k baray main ghalat hy wo ghalat khay g
aap to  kahte the  pakistaniyo ke dil bahut bada hai..ek zara bharat ki tareef k 2 labz bhi,1.0,aap to  kahte thi  pakistaniyo ke dil bahut bada hy..ek zara bharat ki tareef k 2 labz bhi
ye bohat bari baat ny hogi,-1.0,yeh bohat bari baat ny hogi
hum sy ziyada payar india main milta hai agr har kar yahan aayai to hum kitna payar karty dekh lina,1.0,hum say ziyada payar india main milta hy agr har kr yahan aayai to hum kitna payar karty dekh lina
iski saza apke fans kyu bhukte,-1.0,iski saza apke fans kyu bhukte
bhai kadam barao hum tumharay saaath hay,0.0,bhai kadam barao hum tumharay saaath hy
ye itfaak tha! main b aapke sath online hui,0.0,yeh itfaak tha! main bhi aapke sath online hui
& blkul hum support nhn krenge tou aur kon krega?,-1.0,& blkul hum support nhn krenge to aur kon krega?
"bhai, is baar chaddi pe bhi focus kar lena, baar baar utar jati hai ????????",0.0,"bhai, is baar chaddi pe bhi focus kr lena, baar baar utar jati hy ????????"
hum thak gae hain yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hi bne ho.....,-1.0,hum thak gae hy yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hy bne ho.....
hamari duaein ap k sath hain lala good luck:-):-),1.0,hamari duaein ap k sath hy lala good luck:-):-)
allah apko apny hifz o amaan me rkhy. ameen,1.0,allah apko apny hifz o aman main rkhy. ameen
boom boom plzzz ess bar trophy pakistan laay kar ana....love you boom boom india ko un k gar guss kar marna lala...!!!!!,0.0,boom boom plzzz ess bar trophy pakistan laay kr ana....love you boom boom india ko un k ghair guss kr marna lala...!!!!!
best of luck laiken shahid bhai zra pitch pay stay kia kroo please,1.0,best of luck laiken shaeed bhai zra pitch pay stay kia kroo please
mai cricket nhai khilta but dekha buhat shukar sai ho,0.0,mai cricket nhai khilta but dekha buhat shukar sai ho
me khelti nhi hun just dekhti hun.. or harr team kay.. pakistan k sath sath meri fav team australia hai,0.0,main khelti nhi hun just dekhti hun.. aur har team kay.. pakistan k sath sath meri fav team australia hy
inshaallah aap sorkhoro ho kar he loty ge..,1.0,inshaallah aap sorkhoro ho kr hy lootay gi..
lala hume bhool gay han kia? ??,-1.0,lala hume bhool gye hy kia? ??
chat session kr k jaty ap to fans b happy hoty. :p,1.0,chahat session kr k jaty ap to fans bhi happy hotay. :p
offcourse shahid bhai support tu hamesha meri #pakteam ko hi hoti hai ye bhi koi kehne ki baat hai.,1.0,offcourse shaeed bhai support tu hamesha meri #pakteam ko hy hoti hy yeh bhi koi kehne ki baat hy.
spinner to ly k ni gy  koi kam ka kya support kryn tmhari yar :-(,0.0,spinner to lye k nai gye  koi kaam ka kya support kryn tmhari yar :-(
why not asghar bilal usama ?????,-1.0,why not asghar bilal usama ?????
yar kn sa spinner hai in mai sy wicket taking form ho jski ? poor prfrmance with ball is psl both afridi em,-1.0,yar kn sa spinner hy in mai say wicket taking form ho jski ? poor performance with ball is psl both afridi em
ok ok going to study??...bs apki tweet dekhne ai thi ???? chat session karen to mujhe reply krdjiye ga zarooor.. tata~~??,0.0,ok ok going to study??...bs apki tweet dekhne ai thi ???? chahat session karen to mujhe reply krdjiye ga zarooor.. tata~~??
thanks lala tumare es bath ko me salam karta love you ????,1.0,thanks lala tumare is bath ko main salam krta love you ????
waise lala aik kabutar sath le jao ??,0.0,waise lala aik kabutar sath lye jao ??
phir security ki zarurat nahii,-1.0,phr security ki zarurat nahii
wapis bhi es tarah muskurati hue aana jaaan.,1.0,wapis bhi is tarah muskorati hui aana jaan.
bleeding blooming choro atleast india say haar kar maat ana ??,-1.0,bleeding blooming choro atleast india say har kr maat ana ??
allah aapki madad karega i.a hum he jeetain gay??,1.0,allah aapki madad karega i.a hum hy jeetain gye??
best of luck hm ha pakistani hum tu jeety gy han jeety gy:)inshaallah,1.0,best of luck hum hy pakistani hum tu jeety gye hy jeety gye:)inshaallah
kashmiriyu ka pyare aur dua ap k saath hai wheather we are under indian rule stil,1.0,kashmiriyu ka pyare aur dua ap k saath hy wheather we are under indian rule stil
india sy har k mt ana plz,1.0,india say har k mt ana plz
aap tou susral ja rhe hain,0.0,aap to susral ja rhy hy
thora sa contract revise ho jae to ap log strike kr dete ho.,-1.0,thora sa contract revise ho jae to ap log strike kr dete ho.
baray paise aa gaye hain pcb ke paas... flying 1st class in etihad..,1.0,baray paise aa gye hy pcb ke paas... flying 1st class in etihad..
nsha allah ap jeet ker aye gai :-),1.0,nasha allah ap jeet kr ai gai :-)
"pni susraliyun ko batao ki larkhi wali ziyada nahi bolti, achi batting karki batao",0.0,"pni susraliyun ko batao ki larkhi wali ziyada nahi bolti, achi batting karki batao"
shoaib bhai please aap se ache ommed hai ache batting ki to aap kuch  acha karo best of luck pakistan jeet ka aana .geo,1.0,shoaib bhai please aap se ache ommed hy ache batting ki to aap kuch  acha karo best of luck pakistan jeet ka aana .jeo
perform na karna bas selfian hi lete rahna!,-1.0,perform ny karna bas selfian hy lete rahna!
bhai jan susral walo ke duhlai kar ka ana wapis hahahsha,0.0,bhai jaan susral walo ke duhlai kr ka ana wapis hahahsha
"match jeeto match, phir lagana naray, yeh twitter-shoodian band karo sab ...",0.0,"match jeeto match, phr lagana naray, yeh twitter-shoodian band karo sab ..."
wcup ma pic kichwa kr na aa jana,-1.0,wcup main pic kichwa kr ny aa jana
good luck janab allah apko kamyab karay!,1.0,good luck janab allah apko kamyab karay!
yaha bhi india ko copy kia?,0.0,yaha bhi india ko copy kia?
"hahahahaha .jab tak allah k nafarman, taghoot k ghulam raho gy haar tumhara muqaddar hogi ..",-1.0,"hahahahaha .jb tak allah k nafarman, taghoot k ghulam raho gye har tumhara muqaddar hogi .."
r jab sharmeen  or malala jesi begherat yahudi aurton per fakhr karo gy haar tumhara muqadar hogi.,-1.0,r jb sharmeen  aur malala jesi begherat yahudi aurton par fakhar karo gye har tumhara muqadar hogi.
bahi ap kb ja rhe hn india???,0.0,bahi ap kub ja rhy hy india???
sir is achy performance dyna asia cup ki shikast bhool jaye...,1.0,sir is achy performance dyna asia cup ki shikast bhool jaye...
allah ap ko kamyab kry.tum jeeto ya haro hamien tum sy payar hy.pak win,1.0,allah ap ko kamyab kry.tum jeeto yeh haro hamien tum say payar hy.pak win
srf duaon se kaam nai chalta bhai mehat bhi koi cheez hoti he,0.0,srf duaon se kaam nai chalta bhai mehat bhi koi cheez hoti hy
bhai ab aap log social media ki responsibility hum pe chor do and pls focus.wish youu all the best,1.0,bhai ab aap log social media ki responsibility hum pe chor do and pls focus.wish youu all thi best
apna aur baqi sub ka bhot sara khyal rakhy ga love you alot all of you,1.0,apna aur baqi sab ka bhot saraha khayal rakhy ga love you alot all of you
best of luck malik allah ap sub ko apny hifzo eman main rakhy ameen,1.0,best of luck malik allah ap sab ko apny hifzo eman main rakhy ameen
dua'aen bahut hen aap k sath mager thori aap bhe mehnat karo pyare,1.0,dua'aen bahut hy aap k sath mager thori aap bhi mehnat karo pyare
shoaib bhai s dfha t20 wc ma achi prfamis krna please mayos na krna qk ma apka boht bhra fan hun,1.0,shoaib bhai s dfha t20 wc main achi prfamis karna please mayus ny karna qk main apka boht bhra fan hun
lala in shaa allah zaroor jeetain gay ?????? humari duain app ka sath hain ???? #bestofluck,1.0,lala in shaa allah zaroor jeetain gye ?????? humari duain app ka sath hy ???? #bestofluck
shahid bhai duaye app sab k sath hain insha'allah achi performance hogi app sab ki :) khayal rakhiye ga apna or team ka :),1.0,shaeed bhai duaye app sab k sath hy insha'allah achi performance hogi app sab ki :) khayal rakhiye ga apna aur team ka :)
sirf mere shahid bhai apna bht bht khayal rakhiye ga plz,1.0,sirf mere shaeed bhai apna bht bht khayal rakhiye ga plz
i love u really love u,1.0,i love you really love you
lala is great lala ap bating mi responsiblety le or a0na number agee karlo ok plz suchna zaroor,1.0,lala is great lala ap bating mi responsiblety lye aur a0na number agee karlo ok plz suchna zaroor
mayosi kofr ki taraf lejati ha,-1.0,mayoos kofr ki taraf lejati hy
lala aur hm apko esa honay nai dengay,-1.0,lala aur hum apko esa honay nai dengay
in exactly hai jazba junoon tu himat na haar,1.0,in exactly hy jazba junoon tu himat ny har
batsmen score karen captain nah karen???????,0.0,batsmen score karen captain ny karen???????
shahid bhai plzzz ap captancy choren or chane baenche. .,0.0,shaeed bhai plzzz ap captancy choren aur chane baenche. .
et see ur performance in world cup t20..,0.0,et see ur performance in world cup t20..
laikin sir ap nai puri qum ko mayos kar diya hai.,-1.0,laikin sir ap nai puri qum ko mayus kr diya hy.
yes bhai yes. aapke 2-3 chakke dekhne hai bas her match me.,0.0,yes bhai yes. aapke 2-3 chakke dekhne hy bas her match main.
jo aap ko india main mili hai usse muhabbat nahi security khte hain!,-1.0,jo aap ko india main mili hy usse mohabbat nahi security khte hy!
bhai t20 ma open krlo mehaebani .. koi 2 matches k lia he said kr lo .. :(,1.0,bhai t20 main open krlo mehaebani .. koi 2 matches k lia hy said kr lo .. :(
bhaar mai gaya t20! zaleel huker hi ao gay.yah batao acc 2 u you were loved more in india than pak?shame on you!!,-1.0,bhaar mai gya t20! zaleel huker hy ao gye.yeh batao acc 2 you you were loved more in india than pak?shame on you!!
bhai match dekha ha? golden duck liya ha apky champion ne :d,0.0,bhai match dekha hy? golden duck liya hy apky champion ny :de
bhai mujhe kit chaheay ap say,0.0,bhai mujhe kit chaheay ap say
javed bhai ki pic bnai hai bht fit qisam ki :d thori reh gai bs,1.0,javed bhai ki pic bnai hy bht fit qisam ki :de thori rhy gai bs
yeh na ho aagy peechay players kay ishtarahat he lagy hon :p,-1.0,yeh ny ho aagy peechay players kay ishtarahat hy lagy ho :p
yeh banda cricket khailtay khailtay budha ho gaya laikin isnay cricket ki abcd bhi nahi seekhi.,-1.0,yeh banda cricket khailtay khailtay budha ho gya laikin isnay cricket ki abcd bhi nahi seekhi.
peshawar aur islamabad ki kits achi hain,1.0,peshawar aur islamabad ki kits achi hy
inna lillahi wainna illaihi rajaioon,0.0,inna lillahi wainna illaihi rajaioon
ho very sad ...allah jannat me jaga de!,0.0,ho very sad ...allah jannat main jaga dain!
inna'lillahi'wainna'ilaihi'rajiyon allah pak rashid uncle ko jannat-ul-firdous mein ala moqam ata farmayein ameen ??,1.0,inna'lillahi'wainna'ilaihi'rajiyon allah pak rashid uncle ko jannat-uljan-firdous main alaw mukaam ata farmayein ameen ??
assalam o aliykum lala kyaaaa haaalll ha apka,1.0,assalam o aliykum lala kya haaalll hy apka
alla pak un ko jannat ul firdoos m jagah ata frmay ameen,1.0,alaw pak un ko jannat uljan firdoos m jagah ata frmay ameen
shahid bhai hum india mai psl dekhna chahty hai..telecast krwa do,0.0,shaeed bhai hum india mai psl dekhna chahty hy..telecast krwa do
"lala we miss u, pls online ajaye aur humse kuch baatein hi karlein..",-1.0,"lala we miss you, pls online ajaye aur humse kuch baatein hy karlein.."
"inna lillahi wa inna ilaihi rajioon, allah unhe juware rhemat me jaga de or ghar walo ko sabr e jameel ata farmaye, aameen",1.0,"inna lillahi wa inna ilaihi rajioon, allah unhe juware rhemat main jaga dain aur ghair walo ko sabr e jameel ata farmaish, ameen"
shahid bhai mere se baat nahi ki app ne lala please aj online hen to baat nahi karte please came on facebook and talk to me,-1.0,shaeed bhai mere se baat nahi ki app ny lala please aj online hy to baat nahi karte please came on facebook and talk to main
lala ye dp bohat achi hai..,1.0,lala yeh dp bohat achi hy..
apki har picture bohat achi hai lala,1.0,apki har picture bohat achi hy lala
ye request apk pas ec lye lekr aaya hon qk ap insb kamon me masha allah  se bht aage hn. choti c request h shahid bhai apse,1.0,yeh request apk pas ec lye lekr aaya ho qk ap insb kamon main masha allah  se bht aage hy. choti se request hy shaeed bhai apse
"apmi parishani sbk samne bayan nahi kr skta, plz shahid bhai meri thori c help kr den",-1.0,"apmi parishani sbk samne bayan nahi kr sakta, plz shaeed bhai meri thori se help kr dain"
salam shahid bhai. ek choti c request h shahid bhai mujhe kch paison ki bht zrurt h me bht parishan hon,-1.0,salam shaeed bhai. ek choti se request hy shaeed bhai mujhe kuch paison ki bht zrurt hy main bht parishan ho
tum khud kab marogay kanjer ghatiya insan,-1.0,tum khud kub marogay kanjer ghatiya insan
reply b kar dyn hum gareebo ko b bhai jan,-1.0,reply bhi kr dyn hum gareebo ko bhi bhai jaan
"lala pa tweet na khlasege, dua la rasha che drun khkari. allah di obakhi.",0.0,"lala pa tweet ny khlasege, dua la rasha che drun khkari. allah di obakhi."
allah di vo bakhi aao taso tol kor vala ta di sabar darki ameen,1.0,allah di vo bakhi aao taso tol kor vala ta di sabar darki ameen
"lala kitni sad morning hena, me samaj rhi thi suba ap bhabi ki bday wish tweet krenge.??",0.0,"lala kitni sad morning hena, main samaj rhi thi suba ap bhabi ki bday wish tweet krenge.??"
haaan ywr ajj lala n bhaabhi k liye sad day raha hoga,-1.0,han ywr ajj lala ny bhaabhi k liye sad dain rha hoga
"aameen, allah apne jawar e rehmat ma jga ata farmaye",1.0,"ameen, allah apne jawar e rehmat main jga ata farmaish"
"so sad boom boom, allah azeez00n ko saber atta kary & un k0 janat main aalla mukam",1.0,"so sad boom boom, allah azeez00n ko saber atta kary & un k0 jannat main alaw mukaam"
