Reviews,Sentiment
lala&javd bhai plz fans ko b thora time dedain:') lala thora tym fans k lye b plz:),0
asalam alekum baba wo Lala jani sange yo plz reply roko dawora nan,1
Ap dono tu mil Bhi letay hen...,0
Mujhy reply kr den... Bad mai Ap 2no call py bat kr lena,0
Jinab e Aale hm log b yha hai ;!! Waiting for u. To reply us! Koi irada ???,0
lala we proud of you best of luck.ao da khpl khog watan #Pakistan nom rokhana ka,1
ilove u hma ap par pura brosa ha ya media tu chuti chuti bat ko barha barha kar btati ha....,1
Lala aapko Allah izzat de mujhe duniya walo se koi matlab nai h,0
ap ne Acha kya inhen kisi cheez ki koi tameez hi nhi Pata nhi khud ko kya samjhte hn aik camera utha k. shame journalists.,-1
Damakh kharb honry  mera Us sahafi  py,-1
us Sahafi k b maaaaaaaaaaaaaaa k Aaankh ?????????????????????????? Jo. ESA sawal puchaaaaaaa,-1
sub Sala Apna Apna Number Bharaaaaaaaaaaaaaaaarey ??,0
media walo k maaaa k Aankh,-1
please sir kabi kabi urdo mein be message Karo,0
Lala ap Pakistan ke Hero hain. Ap ise bull shit media ke agey na jhokna,0
sahe kaha lala apni aisa he kehna chahye Media ko,1
ala mgr eek baat kaho !?? aap ka keyboard bht teez chalta hai ?? Aap k bat ke tarah,1
mushkilain tw ayegi zid pe tm Array Raho juro gy tw jan0gy,-1
Bhai Ap Ny Kuch ghlat ni kaha Koi kitna bardasht kr sakta h..?,1
Allah tumhe abad rakhe Aur aesi hi rehna hum sb Pakistani ap k sath hai,1
Chat karlen naaaaaaaaaaaaaa,0
Lala me bhi #PeshawarZalmi ko support krhi hu:),1
lala Chat ker lain plzz naaa,0
yani k apki team???? hm sab ki team??,0
hello bhai kesy ho??? Bhai ap ne mujh kabhi reply nhi diya,-1
I love u lala Peshawar zalmi ba gate ka khaire,1
plz maray sath msg karo plzzzzz,0
zinda bad #khpalteam  lala zama na intazar na kigi che da yo month ba sanga terigi kho za 15 January na ba enjoy uko.,1
wesy to Karachi humari jan hai lakin jah lala wah afridian we love u lala we love Peshawar zalim :*,1
Agar Kabhi Acha Khaila Hota To Ya Din Na Daikhnna Parta Jo Pakistan Ka Hall Kia hai Wohi #PeshawarZalmi  Ka bhi Karo Ga,0
Shahid bahi geo na per ap k against propaganda start kr dia .ap sa geo q jealous ha ..,-1
Great Afridi batana hy k kabab kesy bany hein mein wapas lay loon gi acha...tc,1
great Afridi batana hai k Chapli kabab kaisy bany hein...i'm waiting of ur reply @JAfridi10,1
Plzzzzzzz chat session kar lain naaaa hmary sat b plzzzz,0
Aap ko hum se baat ni karni aik bar keh tho dein,-1
aap hme bilkul he bool gye hai ??,-1
zan kara sall zaly toty laka mangez ~ka da yaar zulfo ta zan rasawel ghuwry ~~wish you gud luck all the best :),1
Afridi kahe tou Aap k liye Jann bhi hazir hai Ramsha Khan.,0
Sach much. Afridi k liye sab kuch hazir,1
@IrfaanKhanPTI good mara but agr galti karo to kuch bhi hazir nhi ...,-1
lala ap instagram use karte hain?,0
lala jani mujhay kuch poochna tha ??,0
Je je zaror pochu mushki..,0
"Yahan Insta following recommendation dI hai, Insta pe kahi @Ramshaakhann ki LinkedIn profile to nahi recommend kar di ??",-1
lala ge mera birthday tha aj wish kr den plz,1
happy birthday  ??,1
bade lala ka pta nai chote nay bol dia,-1
No reply to me? Ap mujhe jealous kar rhe. ????,-1
Unse to ap bat krty rehte hn :p abi humse kren naa,0
Lala hume bhi lift karay dein plz ??,0
kbhi fursat mey hamsey b bat Karen ;),1
Thori si to lift kara den ??,0
"Lala jav Lala ko hi reply kare ge kia , ab reply kar dein bachi ki jaan ly gay kia ??",0
javed bhai plz lala ko kahy ky @safridizeenia ki poetry dekh lyn.,0
Aapna Cell Phone He Thoordo ??????????,-1
Yaar ek Reply ??  lala ??,0
behan ko bhi koi lift kara do :/??,0
bs Peshawar Zalmi k liye lgai h... Go Psl.,0
Psl me team h... M.Hafeez isi me h...,0
"Oii Bakhtawar Bhutto to pehchani hi nhi ja rhi, mein bhi kahun Adnan k sath ye larki kon hai....Amina Skeikh ko kafi arsy baad dekh kr acha lga??",0
Ma Sha Allah...shahid Afridi boht khush qismut hai..,1
mery khyaal me un girls se zyada achi lug rhi hain jo hijab nhi krti....Allah hmesha inhy apni Rehmut k saii me rkhy..Ameen..,1
